"Title","Abstract","PID"
"Global prevalence of hepatitis B virus infection and prevention of mother-to-child transmission - Authors' reply.","","30102181"
"Global prevalence of hepatitis B virus infection and prevention of mother-to-child transmission.","","30102180"
"Global prevalence of hepatitis B virus infection and prevention of mother-to-child transmission.","","30102179"
"Efficacy and safety of nucleos(t)ide analogues to prevent hepatitis B virus mother-to-child transmission in pregnant women with high viremia: real life practice from China.","","30008589"
"[Getting to zero mother-to-child transmission of hepatitis B virus: dream and challenge].","To eliminate viral hepatitis as a public health threat, the World Health Organization has set the ambitious goal of reducing the prevalence of hepatitis B surface antigen (HBsAg) in children to 0.1% by 2030, and the key to this grand goal is cutting off hepatitis B virus (HBV) transmission from mother-to-child. Previously, national and international guidelines for the management of chronic hepatitis B recommended the use of hepatitis B vaccine and hepatitis B immunoglobulin (HBIG) or combination of any in neonates and antiviral drugs for pregnant women with high viral load in late pregnancy. However, a recent study in Thailand found that the addition of antiviral drugs in pregnant women with high viral load in the third trimester did not significantly lower the incidence of mother-to-child HBV transmission, but no case of chronic HBV infection was seen with strict standards hepatitis B vaccine and HBIG combined immunoprophylaxis and the use of tenofovir disoproxil in pregnant women with high viral load in the third trimester. In addition, the incidence of mother -to- child transmission of HBV in the antiviral group was 0, while the incidence of HBV transmission in the placebo group was 2%. Therefore, it is not possible to deny the efficacy of adding antiviral drugs in treating pregnant women with high viral load in the third trimester with combined immunoprophylaxis. There is an urgent need for more real-world studies in clinical practice to further reveal the principles and existing problems of mother- to- child transmission of HBV.","29996336"
"Mother-to-child transmission of hepatitis C virus.","This review reinforces the lack of a single maternal risk factor that is highly associated with vertical transmission (VT) of the infection with hepatitis C virus (HCV): indeed HCV RNA levels, mode of delivery, breast feeding, viral genotype or maternal IL28B status were not associated with HCV VT.","29968442"
"Prevention of the mother-to-child transmission of Hepatitis B virus.","","29932509"
"Cesarean section reduces the risk of early mother-to-child transmission of hepatitis B virus.","To evaluate the effects of cesarean section (CS) on the prevention of mother-to-child transmission (MTCT) of hepatitis B virus (HBV) among hepatitis B surface antigen (HBsAg) positive pregnant women.</AbstractText>: To evaluate the effects of cesarean section (CS) on the prevention of mother-to-child transmission (MTCT) of hepatitis B virus (HBV) among hepatitis B surface antigen (HBsAg) positive pregnant women.A prospective cohort study was performed on HBsAg-positive pregnant women who delivered from June 2012 to March 2017 at Wuhan Medical Care Center for Women and Children in Wuhan, China. Logistic regression models were used to examine the associations between mode of delivery and the presence of HBV MTCT.</AbstractText>: A prospective cohort study was performed on HBsAg-positive pregnant women who delivered from June 2012 to March 2017 at Wuhan Medical Care Center for Women and Children in Wuhan, China. Logistic regression models were used to examine the associations between mode of delivery and the presence of HBV MTCT.A total of 1384 women paired with 1407 infants were enrolled. Our study showed that the incidence of HBV MTCT was 1.0% (14/1407) in infants born to HBsAg-positive pregnant women. We observed that the infants born by CS had a smaller percentage of HBV infection than those born by vaginal delivery (VD) (0.5% vs 1.7%, P<U+202F>=<U+202F>0.043). In the fully adjusted model, CS was significantly associated with a decreased risk of HBV MTCT (OR<U+202F>=<U+202F>0.26; 95% CI: 0.07-0.95; P<U+202F>=<U+202F>0.042).</AbstractText>: A total of 1384 women paired with 1407 infants were enrolled. Our study showed that the incidence of HBV MTCT was 1.0% (14/1407) in infants born to HBsAg-positive pregnant women. We observed that the infants born by CS had a smaller percentage of HBV infection than those born by vaginal delivery (VD) (0.5% vs 1.7%, P<U+202F>=<U+202F>0.043). In the fully adjusted model, CS was significantly associated with a decreased risk of HBV MTCT (OR<U+202F>=<U+202F>0.26; 95% CI: 0.07-0.95; P<U+202F>=<U+202F>0.042).Our data confirmed that CS has a protective effect on early MTCT of HBV. CS for HBeAg-positive mothers with high viral load could reduce risk of MTCT and may become a new preventive measure of HBV MTCT through research on its risk-benefit assessment.</AbstractText>: Our data confirmed that CS has a protective effect on early MTCT of HBV. CS for HBeAg-positive mothers with high viral load could reduce risk of MTCT and may become a new preventive measure of HBV MTCT through research on its risk-benefit assessment.","29853270"
"Hepatitis B virus serosurvey and awareness of mother-to-child transmission among pregnant women in Shenyang, China: An observational study.","Preventing hepatitis B virus (HBV) mother-to-child transmission (MTCT) is the key to controlling the prevalence of chronic HBV infection. Adequate awareness of hepatitis B in hepatitis B s antigen (HBsAg) positive pregnant women may be helpful to reduce HBV MTCT.The aim of this study was to explore HBV seroprevalence among pregnant women and investigate the level of hepatitis B awareness among HBsAg positive pregnant women.HBV serum biomarkers were tested among pregnant women visiting Shengjing Hospital of China Medical University. HBsAg-positive pregnant women received a HBV DNA test and completed a questionnaire. The different HBV DNA loads were interpreted as follows: 20 to <U+200A>&lt;<U+200A>2<U+200A>×<U+200A>10<U+200A>IU/mL was low viral load, 2<U+200A>×<U+200A>10 to <U+200A>&lt;<U+200A>2<U+200A>×<U+200A>10<U+200A>IU/mL was intermediate viral load and =2<U+200A>×<U+200A>10<U+200A>IU/mL was high viral load. The pregnant women with high viral load were treated with telbivudine (LdT). HBV DNA at different times was tested. The rate of HBV MTCT was confirmed at 28 weeks postpartum.HBsAg prevalence among pregnant women was 3.1% (441/14314). There was significant difference in comparing HBsAg prevalence in different age groups (<U+03C7><U+200A>=<U+200A>13.86, P<U+200A>&lt;<U+200A>.01). Among 441 HBsAg-positive pregnant women, 151 (34.2%) were hepatitis B e antigen (HBeAg) positive and 112 (25.4%) had high viral load. After 4 weeks of treatment, the average HBV DNA load of 66 cases with high viral load was (5.0<U+200A>±<U+200A>0.8) log10<U+200A>IU/mL. The average HBV DNA load at 4 weeks postpartum rebounded to (7.9<U+200A>±<U+200A>1.0) log10<U+200A>IU/mL, which was not significantly different from that at baseline (t<U+200A>=<U+200A>1.23, P<U+200A>=<U+200A>.22). At 28 weeks postpartum, the rate of HBV MTCT in the treatment group was significantly lower than that in the observation group (0% vs 12.2%; P<U+200A>=<U+200A>.02). Only 23.4% of pregnant women knew their HBV status before gestation and 17.7% of pregnant women knew the HBV status before delivery. However, only 21.3% of pregnant women realized to need antiviral treatment to prevent MTCT.The pregnant women in Shenyang had a low HBsAg prevalence. Antiviral treatment for pregnant women with high viral load can effectively reduce the rate of HBV MTCT. HBV screening and education among HBsAg-positive pregnant women should be strengthened.","29851831"
"Empirical treatment with parenteral acyclovir in a child with herpes simplex virus hepatitis and acute lymphoblastic leukemia.","Hepatitis secondary to Herpes Simplex Virus (HSV) infection is a complication that often leads to fatal hepatic failure. Early treatment with the anti-viral drug, acyclovir, is life-saving. In view of the non-specific nature of the signs and symptoms associated with HSV hepatitis, diagnosis is often made late during the course of the disease; a factor that largely contributes to the high mortality rate of this treatable disease complication. There is thus a growing consensus in the field to initiate empirical treatment with acyclovir once suspicion of HSV hepatitis is raised even before reaching a conclusive diagnosis.</AbstractText>: Hepatitis secondary to Herpes Simplex Virus (HSV) infection is a complication that often leads to fatal hepatic failure. Early treatment with the anti-viral drug, acyclovir, is life-saving. In view of the non-specific nature of the signs and symptoms associated with HSV hepatitis, diagnosis is often made late during the course of the disease; a factor that largely contributes to the high mortality rate of this treatable disease complication. There is thus a growing consensus in the field to initiate empirical treatment with acyclovir once suspicion of HSV hepatitis is raised even before reaching a conclusive diagnosis.We present clinical evidence on the benefit of starting empirical acyclovir treatment on the outcome of patients suffering from HSV hepatitis. We report two cases of HSV hepatitis in children with cancer. One case presented with fulminant hepatitis which was fatal and the diagnosis was only reached post mortem. In the second case, there was enough suspicion of HSV hepatitis to start early empirical acyclovir therapy. The diagnosis was confirmed 48<U+202F>hours following the initiation of treatment and the early intervention with anti-virals proved to be life-saving.</AbstractText>: We present clinical evidence on the benefit of starting empirical acyclovir treatment on the outcome of patients suffering from HSV hepatitis. We report two cases of HSV hepatitis in children with cancer. One case presented with fulminant hepatitis which was fatal and the diagnosis was only reached post mortem. In the second case, there was enough suspicion of HSV hepatitis to start early empirical acyclovir therapy. The diagnosis was confirmed 48<U+202F>hours following the initiation of treatment and the early intervention with anti-virals proved to be life-saving.In both cases above, the following symptoms were shared; fever, elevated transaminase levels and mucositis without clear cutaneous lesions. HSV hepatitis should thus be considered in the differential diagnosis of immuonocomprimised patients exhibiting the above symptoms.</AbstractText>: In both cases above, the following symptoms were shared; fever, elevated transaminase levels and mucositis without clear cutaneous lesions. HSV hepatitis should thus be considered in the differential diagnosis of immuonocomprimised patients exhibiting the above symptoms.Due to the frequent delay in HSV diagnosis and the safety of acyclovir, we recommend empirically administering acyclovir in patients suspected of HSV hepatitis.</AbstractText>: Due to the frequent delay in HSV diagnosis and the safety of acyclovir, we recommend empirically administering acyclovir in patients suspected of HSV hepatitis.","29850402"
"Fulminant hepatitis B virus (HBV) infection in an infant following mother-to-child transmission of an e-minus HBV mutant: Time to relook at HBV prophylaxis in South African infants.","The prevalence of hepatitis B virus (HBV) infection in pregnant women is high in South Africa (SA), yet prophylaxis to prevent mother-to-child transmission (MTCT) falls short of international recommendations. We describe a 10-week-old infant who developed fulminant hepatic failure following MTCT. The mother was hepatitis e-antibody positive and had a viral load of only 760 IU/mL. Genetic analysis of virus from mother and infant showed that both had the G1896A mutation in the preC/C gene, which truncates hepatitis e antigen (HBeAg) during translation, causing an HBeAg-negative phenotype. HBeAg attenuates antiviral immune responses, and its absence was probably responsible for the infant's fulminant hepatitis, due to an uncontrolled immune attack on infected liver cells. Pregnant women are not tested for HBV infection in SA and MTCT rates are unknown. Addition of a birth dose of vaccine, HBV screening of pregnant women and antiviral prophylaxis to positive mothers should be prioritised.","29843851"
"Considerations of antiviral treatment to interrupt mother-to-child transmission of hepatitis B virus in China.","Treating high-risk women with antivirals in their third trimester is a promising intervention to further reduce perinatal transmission in neonates born to hepatitis B surface antigen positive [HBsAg(+)] mothers.</AbstractText>: Treating high-risk women with antivirals in their third trimester is a promising intervention to further reduce perinatal transmission in neonates born to hepatitis B surface antigen positive [HBsAg(+)] mothers.We estimated the number of perinatal infections based on coverage and effectiveness of hepatitis B immunization. We compared cost-effectiveness of different approaches to identify high-risk women for antiviral treatment, by region and urban/rural residence.</AbstractText>: We estimated the number of perinatal infections based on coverage and effectiveness of hepatitis B immunization. We compared cost-effectiveness of different approaches to identify high-risk women for antiviral treatment, by region and urban/rural residence.Of the 16.59 million live births in 2015, 1.04 million infants (6.3%) were born to HBsAg(+) mothers and 268 201 infants (1.6%) to HBsAg(+) and HBeAg(+) dual-positive mothers. Despite immunoprophylaxis, 51 478 perinatal hepatitis B virus (HBV) transmissions were estimated to have occurred from HBsAg and HBeAg dual-positive mothers in 2015. Using HBeAg or HBV viral load testing to identify high-risk pregnant women and to treat them with Tenofovir, the incremental cost ranged from US$68.2 million to US$90.3 million. Assuming HBV viral load testing is available and used to guide treatment and all women with HBV viral loads &gt;200 000<U+2009>IU/ml are treated, 25 912 infections would be averted at a projected cost of US$3500 per infection averted.</AbstractText>: Of the 16.59 million live births in 2015, 1.04 million infants (6.3%) were born to HBsAg(+) mothers and 268 201 infants (1.6%) to HBsAg(+) and HBeAg(+) dual-positive mothers. Despite immunoprophylaxis, 51 478 perinatal hepatitis B virus (HBV) transmissions were estimated to have occurred from HBsAg and HBeAg dual-positive mothers in 2015. Using HBeAg or HBV viral load testing to identify high-risk pregnant women and to treat them with Tenofovir, the incremental cost ranged from US$68.2 million to US$90.3 million. Assuming HBV viral load testing is available and used to guide treatment and all women with HBV viral loads &gt;200 000<U+2009>IU/ml are treated, 25 912 infections would be averted at a projected cost of US$3500 per infection averted.Identifying high-risk pregnant women and providing them with antiviral treatment is feasible and cost-effective to interrupt perinatal HBV transmissions. Policy options should be urgently explored in order for China to reach the HBV elimination goal of 0.1% prevalence among children by 2030.</AbstractText>: Identifying high-risk pregnant women and providing them with antiviral treatment is feasible and cost-effective to interrupt perinatal HBV transmissions. Policy options should be urgently explored in order for China to reach the HBV elimination goal of 0.1% prevalence among children by 2030.","29757383"
"Placental expression of asialoglycoprotein receptor associated with Hepatitis B virus transmission from mother to child.","Asialoglycoprotein receptor expression on hepatocytes has been associated with endocytosis, binding and uptake of hepatitis B virus. The role of asialoglycoprotein receptor in hepatitis B virus vertical transmission and its expression on placenta has not yet been studied.</AbstractText>: Asialoglycoprotein receptor expression on hepatocytes has been associated with endocytosis, binding and uptake of hepatitis B virus. The role of asialoglycoprotein receptor in hepatitis B virus vertical transmission and its expression on placenta has not yet been studied.Thirty-four HBsAg+ve and 13 healthy pregnant mothers along with their newborns were enrolled. The former were categorized into transmitting and non-transmitting mothers based on their newborns being hepatitis B surface antigen and hepatitis B virus DNA positive. Expression of asialoglycoprotein receptor and hepatitis B surface antigen in placenta and isoform of asialoglycoprotein receptor on dendritic cell in peripheral and cord blood dendritic cells were analysed using flowcytometry, immune histochemistry, immune florescence and qRT-PCR.</AbstractText>: Thirty-four HBsAg+ve and 13 healthy pregnant mothers along with their newborns were enrolled. The former were categorized into transmitting and non-transmitting mothers based on their newborns being hepatitis B surface antigen and hepatitis B virus DNA positive. Expression of asialoglycoprotein receptor and hepatitis B surface antigen in placenta and isoform of asialoglycoprotein receptor on dendritic cell in peripheral and cord blood dendritic cells were analysed using flowcytometry, immune histochemistry, immune florescence and qRT-PCR.Twelve HBsAg+ve mothers transmitted hepatitis B virus to their newborns whereas the rest (n = 22) did not. Hepatitis B virus-transmitting mothers showed increased expression of asialoglycoprotein receptor in trophoblasts of placenta. Immunofluorescence microscopy revealed colocalization of hepatitis B surface antigen and asialoglycoprotein receptor in placenta as well as in DCs of transmitting mothers. There was no significant difference in the expression of asialoglycoprotein receptor on peripheral blood mononuclear cells or chord blood mononuclear cells between the 2 groups. However, hepatitis B virus-transmitting mothers and their HBsAg+ve newborns showed increased mRNA levels of isoform of asialoglycoprotein receptor on dendritic cell in peripheral blood mononuclear cells. Hepatitis B virus-transmitting mothers and their HBsAg+ve newborns showed an increased expression of isoform of asialoglycoprotein receptor on dendritic cell on circulating dendritic cells compared to hepatitis B virus non-transmitting mothers and their negative newborns.</AbstractText>: Twelve HBsAg+ve mothers transmitted hepatitis B virus to their newborns whereas the rest (n = 22) did not. Hepatitis B virus-transmitting mothers showed increased expression of asialoglycoprotein receptor in trophoblasts of placenta. Immunofluorescence microscopy revealed colocalization of hepatitis B surface antigen and asialoglycoprotein receptor in placenta as well as in DCs of transmitting mothers. There was no significant difference in the expression of asialoglycoprotein receptor on peripheral blood mononuclear cells or chord blood mononuclear cells between the 2 groups. However, hepatitis B virus-transmitting mothers and their HBsAg+ve newborns showed increased mRNA levels of isoform of asialoglycoprotein receptor on dendritic cell in peripheral blood mononuclear cells. Hepatitis B virus-transmitting mothers and their HBsAg+ve newborns showed an increased expression of isoform of asialoglycoprotein receptor on dendritic cell on circulating dendritic cells compared to hepatitis B virus non-transmitting mothers and their negative newborns.This study revealed that increased expression of asialoglycoprotein receptor in placenta and colocalization with hepatitis B surface antigen strongly indicates its role in intrauterine transmission of hepatitis B virus. Asialoglycoprotein receptor-blocking strategy can be used for therapeutic intervention of vertical transmission.</AbstractText>: This study revealed that increased expression of asialoglycoprotein receptor in placenta and colocalization with hepatitis B surface antigen strongly indicates its role in intrauterine transmission of hepatitis B virus. Asialoglycoprotein receptor-blocking strategy can be used for therapeutic intervention of vertical transmission.","29710378"
"Prevention of mother-to-child transmission: the key of hepatitis B virus elimination.","","29619622"
"Mother-to-child transmission of hepatitis C virus.","Hepatitis C virus (HCV) infection is a worldwide health problem. Based on results of a serosurvey, global prevalence is estimated to be 2,5%, and women account for about 35.8% of the cases. For pregnant women the prevalence is lower and showed a range between 0.24% to 4.3%. Sinse mechanisms and timing of mother to child transmission are not fully understood, efforts are made to assess and understand its risk factors. The purpose of this review was to synthesize the evidence about the mother-to-child transmission of hepatitis C virus and review its risk factors.","29597101"
"Maternal viral load and hepatitis B virus mother-to-child transmission risk: A systematic review and meta-analysis.","AIM: The aim of this study was to assess the relationship between maternal viral load and mother-to-child transmission (MTCT) risk in hepatitis B envelope antigen (HBeAg)-positive mothers.METHODS: PubMed and Web of Science were systematically searched. We compared MTCT incidence between maternal hepatitis B virus (HBV)-DNA-positive and HBV-DNA-negative groups. We also examined the dose-response effect of this relationship.CONCLUSION: Our meta-analysis indicated that maternal viral load was an important risk factor for MTCT in HBeAg-positive mothers, and maternal viral load was dose-dependent with HBV MTCT incidence.","29473269"
NA,"METHODS: This study focused on children with chronic liver diseases who received primary hepatitis B immunization and had a complete dataset of anti-HBs before and after liver transplantation between May 2001 and June 2017. Medical records were retrospectively reviewed for potential factors relating to HBV immunity loss.CONCLUSION: The present study showed that loss of hepatitis B immunity after liver transplantation is unexpectedly common. In our case report, despite high levels of anti-HBs prior to transplantation, infection occurred at a time when, unfortunately, the child had lost immunity to hepatitis B after liver transplantation.","29456414"
"Prophylactic antiviral therapy for the prevention of mother-to-child transmission of hepatitis B virus can be stopped at delivery.","","29274174"
"[Comprehensive review of factors and preventions of mother to child transmission of hepatitis B virus].","Mother-to-child transmission of hepatitis B virus (HBV) is one of major public health issues. Difference is found on effect of preventions of mother to child transmission of HBV such as Hepatitis B vaccine, Hepatitis B immunoglobulin and antiretroviral drugs. Based on the risks of hepatitis B virus on children, influencing factors and interventions of HBV mother-to-child transmission were explored to improve prevention mother-to-child transmission of hepatitis B and to search appropriate strategies reducing mother-to-child transmission of HBV.HBV<U+6BCD><U+5A74><U+4F20><U+64AD><U+5DF2><U+6210><U+4E3A><U+5F15><U+8D77><U+793E><U+4F1A><U+5173><U+6CE8><U+7684><U+91CD><U+5927><U+516C><U+5171><U+536B><U+751F><U+95EE><U+9898><U+4E4B><U+4E00><U+3002><U+76EE><U+524D>,<U+4E59><U+578B><U+809D><U+708E><U+75AB><U+82D7><U+3001><U+4E59><U+578B><U+809D><U+708E><U+514D><U+75AB><U+7403><U+86CB><U+767D><U+548C><U+6297><U+75C5><U+6BD2><U+836F><U+7269><U+7B49><U+4E0D><U+540C><U+5E72><U+9884><U+63AA><U+65BD><U+9884><U+9632>HBV<U+6BCD><U+5A74><U+4F20><U+64AD><U+7684><U+6548><U+679C><U+5B58><U+5728><U+5DEE><U+5F02><U+3002><U+672C><U+6587><U+4ECE><U+513F><U+7AE5><U+611F><U+67D3>HBV<U+7684><U+9014><U+5F84><U+4E0E><U+5371><U+5BB3><U+3001><U+5F71><U+54CD>HBV<U+6BCD><U+5A74><U+4F20><U+64AD><U+7684><U+56E0><U+7D20><U+4EE5><U+53CA>HBV<U+4F20><U+64AD><U+5E72><U+9884><U+63AA><U+65BD><U+7B49>3<U+4E2A><U+65B9><U+9762><U+8FDB><U+884C><U+7EFC><U+8FF0>,<U+63A2><U+8BA8><U+4E0D><U+540C><U+56E0><U+7D20><U+548C><U+5E72><U+9884><U+63AA><U+65BD><U+5BF9>HBV<U+6BCD><U+5A74><U+4F20><U+64AD><U+7684><U+5F71><U+54CD>,<U+4E3A><U+63D0><U+9AD8><U+9884><U+9632>HBV<U+6BCD><U+5A74><U+4F20><U+64AD><U+7684><U+6548><U+679C>,<U+63A2><U+8BA8><U+8FDB><U+4E00><U+6B65><U+964D><U+4F4E>HBV<U+6BCD><U+5A74><U+4F20><U+64AD><U+5E72><U+9884><U+63AA><U+65BD><U+7684><U+7814><U+7A76><U+65B9><U+5411><U+3002>.","29262499"
"The efficacy of two different dosages of hepatitis B immunoglobulin combined with hepatitis B vaccine in preventing mother-to-child transmission of hepatitis B virus: A prospective cohort study.","A birth dose of hepatitis B immunoglobulin (HBIG), in combination with hepatitis B vaccine (HepB), is recommended for infants born to hepatitis B surface antigen (HBsAg)-positive mothers. However, the optimal dosage of HBIG remains to be resolved. This prospective cohort study aimed to compare the efficacy of two dosages of HBIG combined with HepB to prevent mother-to-child transmission (MTCT) of HBV.</AbstractText>: A birth dose of hepatitis B immunoglobulin (HBIG), in combination with hepatitis B vaccine (HepB), is recommended for infants born to hepatitis B surface antigen (HBsAg)-positive mothers. However, the optimal dosage of HBIG remains to be resolved. This prospective cohort study aimed to compare the efficacy of two dosages of HBIG combined with HepB to prevent mother-to-child transmission (MTCT) of HBV.From 2009 to 2011, we prospectively enrolled mother-infant pairs with positive maternal HBsAg in China. Infants were assigned to receive one dose of 100<U+202F>IU or 200<U+202F>IU HBIG within 12<U+202F>h of birth according to maternal numbering, followed by completion of the 3-dose 10<U+202F>µg HepB series. At 7<U+202F>months, post-vaccination serologic testing (PVST) was performed in 545 and 632 infants in 100<U+202F>IU and 200<U+202F>IU HBIG groups, respectively, among whom, 451 and 529 were followed up to 12<U+202F>months.</AbstractText>: From 2009 to 2011, we prospectively enrolled mother-infant pairs with positive maternal HBsAg in China. Infants were assigned to receive one dose of 100<U+202F>IU or 200<U+202F>IU HBIG within 12<U+202F>h of birth according to maternal numbering, followed by completion of the 3-dose 10<U+202F>µg HepB series. At 7<U+202F>months, post-vaccination serologic testing (PVST) was performed in 545 and 632 infants in 100<U+202F>IU and 200<U+202F>IU HBIG groups, respectively, among whom, 451 and 529 were followed up to 12<U+202F>months.Maternal and birth characteristics were comparable between infants in 100<U+202F>IU and 200<U+202F>IU HBIG groups. At 7<U+202F>months, the rates of perinatal infection were 1.5% (8/545) and 1.9% (12/632) in 100<U+202F>IU and 200<U+202F>IU HBIG groups, respectively (p<U+202F>=<U+202F>.568). One non-responder infant in 200<U+202F>IU HBIG group became newly infected at 12<U+202F>months. The antibody to hepatitis B surface antigen (anti-HBs) positive rates were 98.5% (529/537) and 98.2% (609/620) in 100<U+202F>IU and 200<U+202F>IU HBIG groups at 7<U+202F>months, respectively (p<U+202F>=<U+202F>.704), and the corresponding figures were 98.2% (431/439) and 97.1% (496/511) at 12<U+202F>months (p<U+202F>=<U+202F>.266). The anti-HBs geometric mean concentrations were comparable between two groups at 7<U+202F>months (707.95<U+202F>mIU/mL vs. 602.56<U+202F>mIU/mL, p<U+202F>=<U+202F>.062) and 12<U+202F>months (245.47<U+202F>mIU/mL vs. 229.09<U+202F>mIU/mL, p<U+202F>=<U+202F>.407).</AbstractText>: Maternal and birth characteristics were comparable between infants in 100<U+202F>IU and 200<U+202F>IU HBIG groups. At 7<U+202F>months, the rates of perinatal infection were 1.5% (8/545) and 1.9% (12/632) in 100<U+202F>IU and 200<U+202F>IU HBIG groups, respectively (p<U+202F>=<U+202F>.568). One non-responder infant in 200<U+202F>IU HBIG group became newly infected at 12<U+202F>months. The antibody to hepatitis B surface antigen (anti-HBs) positive rates were 98.5% (529/537) and 98.2% (609/620) in 100<U+202F>IU and 200<U+202F>IU HBIG groups at 7<U+202F>months, respectively (p<U+202F>=<U+202F>.704), and the corresponding figures were 98.2% (431/439) and 97.1% (496/511) at 12<U+202F>months (p<U+202F>=<U+202F>.266). The anti-HBs geometric mean concentrations were comparable between two groups at 7<U+202F>months (707.95<U+202F>mIU/mL vs. 602.56<U+202F>mIU/mL, p<U+202F>=<U+202F>.062) and 12<U+202F>months (245.47<U+202F>mIU/mL vs. 229.09<U+202F>mIU/mL, p<U+202F>=<U+202F>.407).One birth dose of 100<U+202F>IU HBIG, combined with the HepB series, might be enough for preventing MTCT of HBV in infants born to HBsAg-positive mothers.</AbstractText>: One birth dose of 100<U+202F>IU HBIG, combined with the HepB series, might be enough for preventing MTCT of HBV in infants born to HBsAg-positive mothers.","29195717"
"Safety and efficacy of telbivudine in late pregnancy to prevent mother-to-child transmission of hepatitis B virus: A multicenter prospective cohort study.","","29193547"
"Third-trimester tenofovir to prevent mother-to-child hepatitis B virus transmission.","","29168452"
"Prospective cohort study on the efficacy and safety of telbivudine used throughout pregnancy in blocking mother-to-child transmission of hepatitis B virus.","","29082650"
"Direct Acting Antiviral Treatment Selection in a Child With Hepatitis C Virus Infection and Compensated Cirrhosis.","","28991836"
"Cesarean section to prevent mother-to-child transmission of hepatitis B virus in China: A meta-analysis.","BACKGROUND: Hepatitis B virus (HBV) is predominantly transmitted through mother-to-child transmission (MTCT). To date, it remains unclear whether the method of parturition affects MTCT of HBV. In order to clarify whether cesarean section, when compared with vaginal delivery, could reduce the risk of MTCT of HBV in China, we conducted this meta-analysis.METHODS: A systematic literature search was performed of the PubMed (Medline), Embase, ISI Web of Science, China Biological Medicine Database, China National Knowledge Infrastructure, and VIP Database for Chinese Technical Periodicals databases for articles written in English or Chinese through July 2015.The reference lists of relevant articles were also scrutinized for additional papers. Randomized controlled trials, cohort studies, or case-control studies investigating the effect of delivery mode on MTCT of HBV were included.CONCLUSIONS: Cesarean section could reduce the risk of MTCT of HBV in comparison to vaginal delivery in China. However, owing to several limitations of our meta-analysis, future well-designed randomized controlled trials with adequate statistical power, might be a more appropriate next step.","28899348"
"Hepatitis B Virus-Hepatitis D Virus mother-to-child co-transmission: A retrospective study in a developed country.","Hepatitis B Virus (HBV) DNA during chronic infection can reach levels at which mother-to-child (MTC) transmission frequently occurs despite passive-active immunization of newborns. Hepatitis D Virus (HDV) RNA can reach high levels, we assessed HBV/HDV MTC co-transmission.</AbstractText>: Hepatitis B Virus (HBV) DNA during chronic infection can reach levels at which mother-to-child (MTC) transmission frequently occurs despite passive-active immunization of newborns. Hepatitis D Virus (HDV) RNA can reach high levels, we assessed HBV/HDV MTC co-transmission.Monocentric retrospective study (registered in ClinicalTrials.gov (NCT02044055)), after informed consent in HBV/HDV co-infected women pregnant between 01/01/2004 and 01/01/2015 in Paris, France. The children were tested when 24 months of age or older.</AbstractText>: Monocentric retrospective study (registered in ClinicalTrials.gov (NCT02044055)), after informed consent in HBV/HDV co-infected women pregnant between 01/01/2004 and 01/01/2015 in Paris, France. The children were tested when 24 months of age or older.These results suggest that HBV/HDV MTC co-transmission is exceptional. Studies are needed, mainly in developing countries.</AbstractText>: These results suggest that HBV/HDV MTC co-transmission is exceptional. Studies are needed, mainly in developing countries.","28834623"
